species_common_name,species_code,scientific_name
Ant-eating Chat,soacha1,Myrmecocichla formicivora
Antelope Jackrabbit,LEPALL,Lepus alleni
Anthony's Nightjar,scrnig1,Nyctidromus anthonyi
Antidorcas Species,4007,
Antillean Crested Hummingbird,ANCH,Orthorhyncus cristatus
Antillean Euphonia,ANEU,Chlorophonia musica
Antillean Mango,ANMA,Anthracothorax dominicus
Antillean Nighthawk,ANNI,Chordeiles gundlachii
Antillean Palm-Swift,ANPS,Tachornis phoenicobia
Antillean Piculet,ANPI,Nesoctites micromegas
Antillean Siskin,ANSI,Spinus dominicensis
Antilocapra Species,4008,
Antilocapridae Family,4261,
Antilope Species,4010,
Antioquia Bristle Tyrant,anbtyr1,Pogonotriccus lanyoni
Antioquia Wren,antwre2,Thryophilus sernai
Aoudad,AMMLER,Ammotragus lervia
Apapane,APAP,Himatione sanguinea
Apical Flycatcher,apifly1,Myiarchus apicalis
Aplodontia Species,3035,Aplodontia 
Aplomado Falcon,APFA,Falco femoralis
Apolinar's Wren,apowre1,Cistothorus apolinari
Apostlebird,apostl1,Struthidea cinerea
Appalachian Cottontail,SYLOBS,Sylvilagus obscurus
Appenine Shrew,SORSAM,Sorex samniticus
Apurimac Spinetail,apuspi1,Synallaxis courseni
Aquatic garter snake,4520,Thamnophis atratus
Aquatic Warbler,4626,Acrocephalus paludicola
Arabian Gazelle,GAZARA,Gazella arabica
Arabian Oryx,ORYLEU,Oryx leucoryx
Arabian Sand Gazelle,GAZMAR,Gazella marica
Arabian Scops Owl,arasco1,Otus pamelae
Arabian Tahr,ARAJAY,Arabitragus jayakari
Arabitragus Species,ARANUL,
Arafura Fantail,arafan1,Rhipidura dryas
Arafura Shrikethrush,arashr,Colluricincla megarhyncha
Araripe Manakin,araman1,Chiroxiphia bokermanni
Araucaria Tit-Spinetail,artspi1,Leptasthenura setaria
Arboreal Soft-furred Spiny Rat,DIPCAN,Diplomys caniceps
Arborimus Species,3039,Arborimus 
Archbold's Newtonia,NEWARC,Newtonia archboldi
